Oliver Connell & Son Limited,,, -   ,,,rev O,OH&P,NETT ALLOWANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client,,, -   ,,,20 May 22,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,Prelims,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,PRELIMS,
Site,,, -   ,,,ref xxxx,,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Supervision,Other,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Staff,Other
,,, Quant ,Unit,Rate,Total,18.0%,,22.61,24.44,26.28,25.97,31.78,26.89,14.44,,,41.50,,,"1,170.00",,,300.00,,,,,,,,,,,,,,,,,,,,,,,
Groundworks,,, -   ,,,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,1.0000,1.0000,1.0000,,,,,,man weeks,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,
,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule of Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preambles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Imported granular fill; subsoil,,,m3,30.49,,4.65,25.84,,1.44,,,,1.58,0.82,0.82,,,,,,21.18,,,,,,,,,,,,,,,,,,,,,,,,,
503,Imported granular fill; hardcore / crushed concrete,,,m3,27.72,,4.23,23.49,,1.44,,,,1.58,0.82,0.82,,,,,,18.82,,,,,,,,,,,,,,,,,,,,,,,,,
504,Imported granular fill; 1A/1B/2A/2B,,,m3,29.11,,4.44,24.67,,1.44,,,,1.58,0.82,0.82,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,
505,Imported granular fill; 6N/6P,,,m3,30.49,,4.65,25.84,,1.44,,,,1.58,0.82,0.82,,,,,,21.18,,,,,,,,,,,,,,,,,,,,,,,,,
505,"Imported granular fill; 6F2; supply only, place meas sep",,,m3,30.54,,4.66,25.88,,,,,,,,,,,,,,25.88,,,,,,,,,,,,,,,,,,,,,,,,,
506,Imported granular fill; 6F2,,,m3,36.05,,5.50,30.55,,1.44,,,,1.58,0.82,0.82,,,,,,25.88,,,,,,,,,,,,,,,,,,,,,,,,,
507,Imported granular fill; 6F1,,,m3,36.05,,5.50,30.55,,1.44,,,,1.58,0.82,0.82,,,,,,25.88,,,,,,,,,,,,,,,,,,,,,,,,,
508,Imported granular fill; type 3 (coarse/no fines),,,m3,67.98,,10.37,57.61,,1.44,,,,1.58,0.82,0.82,,,,,,52.94,,,,,,,,,,,,,,,,,,,,,,,,,
509,Imported granular fill; type 2,,,m3,44.38,,6.77,37.61,,1.44,,,,1.58,0.82,0.82,,,,,,32.94,,,,,,,,,,,,,,,,,,,,,,,,,
510,Imported granular fill; type 1 (c/c),,,m3,47.15,,7.19,39.96,,1.44,,,,1.58,0.82,0.82,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,,,
511,Imported granular fill; type 1 (stone),,,m3,74.92,,11.43,63.49,,1.44,,,,1.58,0.82,0.82,,,,,,58.82,,,,,,,,,,,,,,,,,,,,,,,,,
512,Imported granular fill; CBGM 2,,,m3,160.38,,24.47,135.92,,3.06,,,,3.36,1.75,1.75,,,,126.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Imported granular fill; permeable aggregate 4/20,,,m3,88.80,,13.55,75.25,,1.44,,,,1.58,0.82,0.82,,,,,,70.59,,,,,,,,,,,,,,,,,,,,,,,,,
514,Imported granular fill; permeable aggregate 4/40,,,m3,95.74,,14.60,81.14,,1.44,,,,1.58,0.82,0.82,,,,,,76.47,,,,,,,,,,,,,,,,,,,,,,,,,
515,Imported granular fill; permeable aggregate 10/63,,,m3,74.92,,11.43,63.49,,1.44,,,,1.58,0.82,0.82,,,,,,58.82,,,,,,,,,,,,,,,,,,,,,,,,,
516,Imported granular fill; pea shingle,,,m3,67.98,,10.37,57.61,,1.44,,,,1.58,0.82,0.82,,,,,,52.94,,,,,,,,,,,,,,,,,,,,,,,,,
517,Imported granular fill; sand,,,m3,91.06,,13.89,77.17,,1.44,,,,1.58,0.82,0.82,,,,,,72.50,,,,,,,,,,,,,,,,,,,,,,,,,
518,Imported granular fill; sand; sheet pile voids,,,m3,123.05,,18.77,104.28,,9.17,,,,3.36,2.38,2.38,,,,,,87.00,,,,,,,,,,,,,,,,,,,,,,,,,
519,Ply fixed to face of contig piles and sand fill behind,,,m2,49.72,,7.59,42.14,,9.33,,,,0.40,1.40,1.40,,13.36,,,,10.44,5.81,,,,,,,,,,,,,,,,,,,,,,,,
520,Ply fixed to face of sheet piles and sand fill behind,,,m2,62.64,,9.56,53.09,,10.29,,,,0.76,1.65,1.65,,13.36,,,,19.58,5.81,,,,,,,,,,,,,,,,,,,,,,,,
521,Imported granular fill; topsoil; standard grade,,,m3,65.93,,10.06,55.87,,2.72,,,,2.99,1.56,1.56,,,,,,47.06,,,,,,,,,,,,,,,,,,,,,,,,,
522,Imported granular fill; topsoil; BS3882,,,m3,93.70,,14.29,79.40,,2.72,,,,2.99,1.56,1.56,,,,,,70.59,,,,,,,,,,,,,,,,,,,,,,,,,
523,Sand blinding; 25mm thk,,,m2,2.76,,0.42,2.34,,0.16,,,,0.18,0.09,0.09,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,
524,Sand blinding; 50mm thk,,,m2,4.90,,0.75,4.15,,0.16,,,,0.18,0.09,0.09,,,,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,
525,Level & compact surface of fill (large areas),,,m2,0.23,,0.04,0.20,,0.06,,,,0.07,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Level & compact surface of fill,,,m2,0.52,,0.08,0.44,,0.14,,,,0.15,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Proof rolling surface of fill inc CBR test,,,m2,0.74,,0.11,0.63,,0.10,,,,0.11,0.06,0.06,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,
528,Level & compact surface of fill; sloping,,,m2,0.69,,0.11,0.59,,0.18,,,,0.20,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Level & compact surface of fill; vertical & battered faces,,,m2,3.00,,0.46,2.54,,1.63,,,,0.45,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Level & compact surface of fill; sloping; by hand,,,m2,10.40,,1.59,8.81,,2.72,,,,2.99,1.56,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Vibro compaction,,,m2,1.03,,0.16,0.87,,0.20,,,,0.22,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Level & compact surface of fill & 25mm sand blinding,,,m2,3.39,,0.52,2.87,,0.33,,,,0.36,0.19,0.19,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,
533,Level & compact surface of fill & 50mm sand blinding,,,m2,5.53,,0.84,4.68,,0.33,,,,0.36,0.19,0.19,,,,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,
534,Scarify/rake surface of existing ground to receive topsoil,,,m2,0.69,,0.11,0.59,,0.18,,,,0.20,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Rotovate subsoil ready to recieve topsoil,,,m2,1.94,,0.30,1.64,,1.22,,,,,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Rake & level surface of topsoil,,,m2,0.29,,0.04,0.24,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,SC membrane,,,m2,2.29,,0.35,1.94,,0.83,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,
538,SC2000 filter geotextile; turned up at perimeter 450mm,,,m,2.16,,0.33,1.83,,1.33,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,
539,SC intergrid,,,m2,4.52,,0.69,3.83,,0.83,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,
540,Tensar 30/30,,,m2,1.63,,0.25,1.38,,0.83,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,
541,Inbitex geotextile ,,,m2,1.63,,0.25,1.38,,0.83,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,
542,Rhyno geotextile GW8118,,,m2,1.37,,0.21,1.16,,0.83,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,
543,Tenax geogrid LB0370,,,m2,3.19,,0.49,2.70,,0.83,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,
544,Tensar geogrid P-34817-1-1,,,m2,4.70,,0.72,3.98,,0.86,,,,,,,,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,
545,Tensar Triax geogrid,,,m2,4.33,,0.66,3.67,,0.86,,,,,,,,,,,,,2.81,,,,,,,,,,,,,,,,,,,,,,,,
546,Tensar Geogrid SS40,,,m2,3.47,,0.53,2.94,,0.86,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,
547,Tensar Geogrid TX160,,,m2,3.61,,0.55,3.06,,0.86,,,,,,,,,,,,,2.20,,,,,,,,,,,,,,,,,,,,,,,,
548,Tensar Geogrid TX150,,,m2,3.46,,0.53,2.93,,0.86,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,
549,Terram 1000,,,m2,1.50,,0.23,1.27,,0.83,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,
550,Terram; vertical,,,m2,2.03,,0.31,1.72,,1.33,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,
551,1200g visqueen (300mu); horizontal,,,m2,1.17,,0.18,0.99,,0.49,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,
552,Terram 1B1 drainage membrane; vertical,,,m2,6.83,,1.04,5.78,,1.33,,,,,,,,,,,,,4.46,,,,,,,,,,,,,,,,,,,,,,,,
553,SC membrane (impermeable) with welded joints; horizontal,,,m2,6.91,,1.05,5.86,,0.86,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,
554,Impervious tanking membrane; horizontal,,,m2,6.91,,1.05,5.86,,0.86,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,
555,Root barrier; Re-root 2000; horz,,,m2,13.22,,2.02,11.20,,0.83,,,,,,,,,,,,,10.38,,,,,,,,,,,,,,,,,,,,,,,,
556,Root barrier; Re-root 2000; vert,,,m2,13.81,,2.11,11.70,,1.33,,,,,,,,,,,,,10.38,,,,,,,,,,,,,,,,,,,,,,,,
557,Root barrier; Re-root 1000; horz,,,m2,13.22,,2.02,11.20,,0.83,,,,,,,,,,,,,10.38,,,,,,,,,,,,,,,,,,,,,,,,
558,Root barrier; Re-root 1000; vert,,,m2,13.81,,2.11,11.70,,1.33,,,,,,,,,,,,,10.38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filling secant/contig/sheet pile voids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,C20 conc & fwk to 600 secants at 450c/s,,,m2,77.58,,11.83,65.74,2.09,,34.69,,,,0.07,,10.38,,0.46,18.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,C20 conc & fwk to 450 secants at 300c/s,,,m2,75.22,,11.47,63.75,1.88,,34.69,,,,0.06,,10.38,,0.46,16.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,C20 conc & fwk to 600 contigs at 700c/s,,,m2,79.73,,12.16,67.57,2.27,,34.69,,,,0.07,,10.38,,0.46,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,C20 conc & fwk to 450 contigs at 550c/s,,,m2,76.80,,11.71,65.08,2.02,,34.69,,,,0.07,,10.38,,0.46,17.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Void formers to secant piles; 600mm dia at 450 c/s; Filcor 90,,,m2,50.68,,7.73,42.95,,,14.60,,,,,,,,,,,,28.35,,,,,,,,,,,,,,,,,,,,,,,,
562,Void formers to contiguous piles; 450mm dia at 550 c/s; Filcor 70,,,m2,65.46,,9.98,55.47,,,11.94,,,,,,,,,,,,43.53,,,,,,,,,,,,,,,,,,,,,,,,
563,Void formers to contiguous piles; 600mm dia at 700 c/s; Filcor 70,,,m2,57.80,,8.82,48.98,,,9.38,,,,,,,,,,,,39.60,,,,,,,,,,,,,,,,,,,,,,,,
564,Void formers to sheet piles; 450mm deep at 1.20m c/s; Filcor 70,,,m2,45.18,,6.89,38.29,,,5.47,,,,,,,,,,,,32.81,,,,,,,,,,,,,,,,,,,,,,,,
565,"Ply left in, shot fired to sheet piles and sand fill voids",,,m2,67.18,,10.25,56.94,,2.06,28.91,,,0.76,0.53,0.53,,,4.57,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,
566,Gunite spray concrete; ave 150mm thk; 1 layer A252 fixed to face of piles; wood float finish,,,m2,132.40,,20.20,112.20,,,,,,,,,,,,,,,,,112.20,,,,,,,,,,,,,,,,,,,,,,
567,Gunite spray concrete; ave 260mm thk; 1 layer A252 fixed to face of piles; wood float finish,,,m2,148.62,,22.67,125.95,,,,,,,,,,,,,,,,,125.95,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sundries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Drill & fix chemical anchors,,,nr,35.17,,5.37,29.81,13.31,,,,,,1.00,,,,,,,,15.50,,,,,,,,,,,,,,,,,,,,,,,,
569,Drill & grout 25mm threaded rod; Hilti HIT resin,,,nr,33.70,,5.14,28.56,11.31,,,,,,1.00,,,,0.50,,,,15.75,,,,,,,,,,,,,,,,,,,,,,,,
570,Drill & grout T10/T12 dowel bars; Hilti HIT resin,,,nr,11.53,,1.76,9.77,3.77,,,,,,0.50,,,,,,,,5.50,,,,,,,,,,,,,,,,,,,,,,,,
571,Drill & grout T16 dowel bars; Hilti HIT resin,,,nr,13.12,,2.00,11.12,4.52,,,,,,0.50,,,,,,,,6.10,,,,,,,,,,,,,,,,,,,,,,,,
572,Drill & grout T16 S/S dowel bars; Hilti HIT resin,,,nr,13.12,,2.00,11.12,4.52,,,,,,0.50,,,,,,,,6.10,,,,,,,,,,,,,,,,,,,,,,,,
573,Drill & grout T20 dowel bars; Hilti HIT resin,,,nr,16.64,,2.54,14.10,5.65,,,,,,0.75,,,,,,,,7.70,,,,,,,,,,,,,,,,,,,,,,,,
574,Drill & grout T25 dowel bars; Hilti HIT resin,,,nr,20.16,,3.08,17.09,7.54,,,,,,0.75,,,,,,,,8.80,,,,,,,,,,,,,,,,,,,,,,,,
575,Drill & grout T32 dowel bars; Hilti HIT resin,,,nr,23.24,,3.55,19.69,9.04,,,,,,0.75,,,,,,,,9.90,,,,,,,,,,,,,,,,,,,,,,,,
576,Drill & grout T32 s/s dowel bars; Hilti HIT resin,,,nr,30.44,,4.64,25.79,9.04,,,,,,0.75,,,,,,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,
577,Drill & grout T50 s/s sleeved dowel bars; Hilti HIT resin,,,nr,42.55,,6.49,36.06,11.31,,,,,,0.75,,,,,,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,
578,Drill & grout T50 s/s dowel bars; Hilti HIT resin,,,nr,37.83,,5.77,32.06,11.31,,,,,,0.75,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,
579,Core drilling 107mm dia,,,m,105.26,,16.06,89.20,,,,,,,,,,,,,,,,,89.20,,,,,,,,,,,,,,,,,,,,,,
580,Core drilling 127mm dia,,,m,141.60,,21.60,120.00,,,,,,,,,,,,,,,,,120.00,,,,,,,,,,,,,,,,,,,,,,
581,Core drilling 152mm dia,,,m,150.10,,22.90,127.20,,,,,,,,,,,,,,,,,127.20,,,,,,,,,,,,,,,,,,,,,,
582,Core drilling 202mm dia,,,m,222.78,,33.98,188.80,,,,,,,,,,,,,,,,,188.80,,,,,,,,,,,,,,,,,,,,,,
583,Core drilling 250mm dia,,,m,297.83,,45.43,252.40,,,,,,,,,,,,,,,,,252.40,,,,,,,,,,,,,,,,,,,,,,
584,Core drilling 300mm dia,,,m,425.74,,64.94,360.80,,,,,,,,,,,,,,,,,360.80,,,,,,,,,,,,,,,,,,,,,,
585,Core drilling 350mm dia,,,m,447.46,,68.26,379.20,,,,,,,,,,,,,,,,,379.20,,,,,,,,,,,,,,,,,,,,,,
586,Cast in telescopic brick vent to 700 edge beam,,,nr,33.75,,5.15,28.61,,,13.14,,,,0.50,,,1.00,0.10,,,,13.87,,,,,,,,,,,,,,,,,,,,,,,,
587,Compressible filler; 25mm thk; ex 1m; horizontal,,,m2,19.35,,2.95,16.40,2.26,,,,,,,,,,,,,,14.14,,,,,,,,,,,,,,,,,,,,,,,,
588,Compressible filler; 25mm thk; ex 1m; vertical,,,m2,23.97,,3.66,20.31,6.17,,,,,,,,,,,,,,14.14,,,,,,,,,,,,,,,,,,,,,,,,
589,Compressible filler; 300 thk x 500mm wide,,,m,27.60,,4.21,23.39,,3.49,,,,,,,,,,,,,19.90,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Void Formers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Polystyrene void former; Filcor 10,,,m3,113.62,,17.33,96.28,,,8.76,,,,,,,,,,,,87.53,,,,,,,,,,,,,,,,,,,,,,,,
591,Polystyrene void former; Filcor 20,,,m3,118.16,,18.02,100.13,,,8.76,,,,,,,,,,,,91.37,,,,,,,,,,,,,,,,,,,,,,,,
592,Polystyrene void former; Filcor 45,,,m3,146.63,,22.37,124.26,,,8.76,,,,,,,,,,,,115.50,,,,,,,,,,,,,,,,,,,,,,,,
593,Polystyrene void former; Filcor 50,,,m3,173.02,,26.39,146.63,,,8.76,,,,,,,,,,,,137.87,,,,,,,,,,,,,,,,,,,,,,,,
594,Polystyrene void former; Jablite fillmaster; EPS100,,,m3,116.21,,17.73,98.48,,,6.57,,,,,,,,,,,,91.91,,,,,,,,,,,,,,,,,,,,,,,,
595,Void formers to secant piles; 600mm dia at 450 c/s; Filcor 90,,,m2,45.10,,6.88,38.22,,,14.60,,,,,,,,,,,,23.63,,,,,,,,,,,,,,,,,,,,,,,,
596,Void formers to contiguous piles; 450mm dia at 550 c/s; Filcor 70,,,m2,56.90,,8.68,48.22,,,11.94,,,,,,,,,,,,36.27,,,,,,,,,,,,,,,,,,,,,,,,
597,Void formers to contiguous piles; 600mm dia at 700 c/s; Filcor 70,,,m2,57.80,,8.82,48.98,,,9.38,,,,,,,,,,,,39.60,,,,,,,,,,,,,,,,,,,,,,,,
598,Void formers to sheet piles; 450mm deep at 1.20m c/s; Filcor 70,,,m2,44.54,,6.79,37.75,,,5.47,,,,,,,,,,,,32.27,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clay Heave & Gas Venting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Cellcore; 85mm; HX B 13/18; under conc 301-460mm,,,m2,20.20,,3.08,17.12,,3.49,,,,,,,,,,,,,13.63,,,,,,,,,,,,,,,,,,,,,,,,
600,Cellcore; 85mm; HX B 18/24; under conc 461-660mm,,,m2,21.50,,3.28,18.22,,3.49,,,,,,,,,,,,,14.73,,,,,,,,,,,,,,,,,,,,,,,,
601,Cellcore; 85mm; HX B 24/32; under conc 661-900mm,,,m2,22.80,,3.48,19.32,,3.49,,,,,,,,,,,,,15.83,,,,,,,,,,,,,,,,,,,,,,,,
602,Cellcore; 90mm; HX S 09/13; under conc 221-300mm,,,m2,19.32,,2.95,16.37,,3.49,,,,,,,,,,,,,12.88,,,,,,,,,,,,,,,,,,,,,,,,
603,Cellcore; 90mm; HX S 13/18; under conc 301-460mm,,,m2,26.30,,4.01,22.29,,3.49,,,,,,,,,,,,,18.80,,,,,,,,,,,,,,,,,,,,,,,,
604,Cellcore; 155mm; HX B 13/18; under conc 301-460mm,,,m2,24.88,,3.79,21.08,,3.49,,,,,,,,,,,,,17.59,,,,,,,,,,,,,,,,,,,,,,,,
605,Cellcore; 155mm; HX B 18/24; under conc 461-660mm,,,m2,28.95,,4.42,24.54,,3.49,,,,,,,,,,,,,21.04,,,,,,,,,,,,,,,,,,,,,,,,
606,Cellcore; 155mm; HX B 24/32; under conc 661-900mm,,,m2,25.92,,3.95,21.96,,3.49,,,,,,,,,,,,,18.47,,,,,,,,,,,,,,,,,,,,,,,,
607,Cellcore; 160mm; HX S 09/13; under conc 221-300mm,,,m2,27.36,,4.17,23.18,,3.49,,,,,,,,,,,,,19.69,,,,,,,,,,,,,,,,,,,,,,,,
608,Cellcore; 160mm; HX S 13/18; under conc 301-460mm,,,m2,28.49,,4.35,24.14,,3.49,,,,,,,,,,,,,20.65,,,,,,,,,,,,,,,,,,,,,,,,
609,Cellcore; 160mm; HX S 40/50; under conc 1401-1660mm,,,m2,39.28,,5.99,33.29,,3.49,,,,,,,,,,,,,29.80,,,,,,,,,,,,,,,,,,,,,,,,
610,Cellcore; 220mm; HX S 09/13; under conc 221-300mm,,,m2,31.11,,4.75,26.36,,3.49,,,,,,,,,,,,,22.87,,,,,,,,,,,,,,,,,,,,,,,,
611,Cellcore; 220mm; HX S 13/18; under conc 301-460mm,,,m2,31.52,,4.81,26.71,,3.49,,,,,,,,,,,,,23.22,,,,,,,,,,,,,,,,,,,,,,,,
612,Cellcore; 220mm; HX B 18/24; under concrete 461-660mm,,,m2,33.26,,5.07,28.19,,4.07,,,,,,,,,,,,,24.11,,,,,,,,,,,,,,,,,,,,,,,,
613,Cellcore; 220mm; HX B 24/32; under concrete 660-900mm,,,m2,35.38,,5.40,29.98,,4.07,,,,,,,,,,,,,25.91,,,,,,,,,,,,,,,,,,,,,,,,
614,Cellcore; 225mm; HX S 07/10; under concrete upto 220mm,,,m2,32.18,,4.91,27.27,,4.07,,,,,,,,,,,,,23.20,,,,,,,,,,,,,,,,,,,,,,,,
615,Cellcore; 225mm; HX S 09/13; under concrete 221-300mm,,,m2,32.83,,5.01,27.82,,4.07,,,,,,,,,,,,,23.75,,,,,,,,,,,,,,,,,,,,,,,,
616,Cellcore; 225mm; HX S 09/13; under concrete 221-300mm; vertical,,,m2,35.24,,5.38,29.86,,6.11,,,,,,,,,,,,,23.75,,,,,,,,,,,,,,,,,,,,,,,,
617,Cellcore; 225mm; HX S 13/18; under concrete 301-460mm,,,m2,33.48,,5.11,28.37,,4.07,,,,,,,,,,,,,24.30,,,,,,,,,,,,,,,,,,,,,,,,
618,Cellcore; 225mm; HX S 18/24; under concrete 461-660mm,,,m2,35.52,,5.42,30.10,,4.07,,,,,,,,,,,,,26.03,,,,,,,,,,,,,,,,,,,,,,,,
619,Cellcore; 225mm; HX S 24/32; under concrete 661-900mm,,,m2,37.67,,5.75,31.93,,4.07,,,,,,,,,,,,,27.85,,,,,,,,,,,,,,,,,,,,,,,,
620,Cellcore; 250mm; CC 20/30; under concrete 551-770,,,m2,34.64,,5.28,29.35,,4.07,,,,,,,,,,,,,25.28,,,,,,,,,,,,,,,,,,,,,,,,
621,Cellcore; 250mm; CC 25/35; under concrete 771-980,,,m2,34.64,,5.28,29.35,,4.07,,,,,,,,,,,,,25.28,,,,,,,,,,,,,,,,,,,,,,,,
622,Cellcore; 250mm; CC 30/40; under concrete 981-1185,,,m2,44.99,,6.86,38.13,,4.07,,,,,,,,,,,,,34.06,,,,,,,,,,,,,,,,,,,,,,,,
623,Cellcore; 250mm; CC 35/45; under concrete 1186-1400mm,,,m2,39.57,,6.04,33.53,,4.07,,,,,,,,,,,,,29.46,,,,,,,,,,,,,,,,,,,,,,,,
624,Cellcore; 250mm; CC 40/55; under concrete 1401-1810mm,,,m2,48.76,,7.44,41.32,,4.07,,,,,,,,,,,,,37.25,,,,,,,,,,,,,,,,,,,,,,,,
625,Cellcore; 250mm; CC 50/60; under concrete 1811-2020mm,,,m2,53.95,,8.23,45.72,,4.07,,,,,,,,,,,,,41.65,,,,,,,,,,,,,,,,,,,,,,,,
626,Cellcore; 300mm; CP 8/12; ,,,m2,45.77,,6.98,38.79,,3.49,,,,,,,,,,,,,35.30,,,,,,,,,,,,,,,,,,,,,,,,
627,Cellcore; 300mm; CP 20/30;,,,m2,50.97,,7.77,43.19,,3.49,,,,,,,,,,,,,39.70,,,,,,,,,,,,,,,,,,,,,,,,
628,Cellcore; mm; HX S 07/10; under concrete upto 220mm,,,m2,45.84,,6.99,38.85,,4.07,,,,,,,,,,,,,34.77,,,,,,,,,,,,,,,,,,,,,,,,
629,Cellcore; 300mm; HX S 09/13; under concrete 221-300mm,,,m2,50.81,,7.75,43.06,,4.07,,,,,,,,,,,,,38.99,,,,,,,,,,,,,,,,,,,,,,,,
630,Cellcore; 300mm; HX S 13/18; under concrete 301-460mm,,,m2,52.48,,8.01,44.48,,4.07,,,,,,,,,,,,,40.40,,,,,,,,,,,,,,,,,,,,,,,,
631,Cellcore; 300mm; HG 30/40; under concrete >1000mm,,,m2,45.75,,6.98,38.77,,4.07,,,,,,,,,,,,,34.70,,,,,,,,,,,,,,,,,,,,,,,,
632,Cellcore; 300mm; HG 40/50; under concrete >1000mm,,,m2,51.21,,7.81,43.40,,4.07,,,,,,,,,,,,,39.33,,,,,,,,,,,,,,,,,,,,,,,,
633,EO Cellcore for cutting around piles,,,nr,14.42,,2.20,12.22,,12.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Heave guard; 50mm thk; vertical,,,m2,14.16,,2.16,12.00,,6.11,,,,,,,,,,,,,5.89,,,,,,,,,,,,,,,,,,,,,,,,
635,Heave guard; 75mm thk; vertical,,,m2,15.21,,2.32,12.89,,6.11,,,,,,,,,,,,,6.78,,,,,,,,,,,,,,,,,,,,,,,,
636,Heave guard; 100mm thk; vertical,,,m2,20.05,,3.06,16.99,,6.11,,,,,,,,,,,,,10.88,,,,,,,,,,,,,,,,,,,,,,,,
637,Heave guard; 200mm thk; vertical,,,m2,33.35,,5.09,28.27,,6.61,,,,,,,,,,,,,21.66,,,,,,,,,,,,,,,,,,,,,,,,
638,Heave guard; 300mm thk; vertical,,,m2,54.81,,8.36,46.45,,7.41,,,,,,,,,,,,,39.04,,,,,,,,,,,,,,,,,,,,,,,,
639,85mm thk Heaveguard pilecollars to 450mm dia piles,,,nr,14.26,,2.18,12.09,,4.89,,,,,,,,,,,,,7.20,,,,,,,,,,,,,,,,,,,,,,,,
640,85mm thk Heaveguard pilecollars to 600mm dia piles,,,nr,16.63,,2.54,14.09,,4.89,,,,,,,,,,,,,9.20,,,,,,,,,,,,,,,,,,,,,,,,
